QuestionBodyAnswerMatch,QuestionTitleAnswerMatch,QuestionUserTagMatch,QuestionBodyKeyWords,QuestionTitleKeyWords,NumQuestionTags,AnswerKeyWords,NumUserTags,QuestionCommentCount,QuestionScore,AnswerCommentCount,NumberOfBadges,NumberOfCommentsMade,NumberOfAnswers,CodedAnswers,Reputation,UpVotes,DownVotes,ProfileViews,HasWebsite,UsefulOrAccepted
50,0,0,188,5,3,82,3,0,11,6,1,2,1,0,46,0,0,4,0,1
47,7,0,200,5,5,74,5,2,4,0,1,1,1,0,11,0,0,2,0,1
9,2,0,51,7,2,20,2,3,1,0,1,1,2,0,26,0,0,2,0,1
11,1,6,157,6,4,24,7,2,0,2,1,2,3,0,61,0,0,8,0,1
29,2,5,196,7,2,54,22,0,0,0,1,1,15,0,161,0,0,4,0,1
46,5,0,65,7,5,89,5,0,1,0,2,1,1,0,46,0,0,11,0,1
54,6,0,106,4,5,105,5,0,7,2,2,1,1,0,181,0,0,12,0,1
21,0,0,90,7,1,31,1,0,7,2,3,3,1,0,34,0,0,3,0,1
22,5,0,33,4,1,49,1,1,1,2,3,1,1,0,36,10,0,2,0,1
25,6,0,86,5,2,39,2,0,2,0,3,4,1,0,11,0,0,0,0,1
23,1,0,96,7,4,53,4,1,3,4,3,2,1,0,23,1,0,1,0,1
18,4,0,87,6,3,46,3,2,0,0,3,4,2,0,15,1,0,10,0,1
19,3,0,36,7,3,80,3,4,0,0,3,4,2,0,18,0,0,0,0,1
24,2,0,110,9,2,36,2,0,0,0,1,3,1,1,11,0,0,0,0,1
270,2,0,1288,5,5,315,5,3,11,2,1,1,1,1,11,0,0,18,0,1
93,16,0,120,12,5,141,5,0,7,3,1,1,1,1,21,0,0,2,0,1
69,2,0,235,5,3,131,3,0,3,3,1,1,1,1,36,0,0,8,0,1
23,1,0,742,7,3,38,3,9,0,2,1,2,2,1,11,0,0,0,0,1
39,13,6,377,17,5,94,9,2,0,1,1,1,3,1,46,0,0,6,0,1
59,34,0,182,13,4,76,4,2,8,0,2,3,1,1,11,0,0,11,0,1
45,1,0,230,9,3,64,3,7,5,0,2,2,1,1,18,0,0,3,0,1
65,6,0,762,15,2,79,2,6,10,0,2,2,1,1,21,1,0,1,0,1
86,19,0,476,11,4,128,4,4,48,2,2,1,1,1,31,5,0,4,0,1
27,3,0,69,10,2,41,2,2,1,4,2,2,1,1,21,0,0,0,0,1
40,1,6,201,5,4,70,7,2,1,0,2,1,2,1,61,0,0,4,0,1
195,16,0,313,4,3,239,3,0,1,2,2,2,2,1,96,0,0,16,0,1
55,4,5,88,9,4,89,9,0,0,1,2,1,2,1,46,73,0,7,0,1
46,1,0,203,6,3,51,3,0,0,3,2,1,4,1,28,7,0,7,0,1
52,0,0,685,4,4,80,4,2,2,0,2,1,4,1,46,0,0,3,0,1
244,7,3,301,5,3,320,9,0,8,4,2,1,5,1,101,10,0,20,0,1
65,1,4,214,5,1,98,9,0,0,1,2,1,9,1,131,0,0,27,0,1
17,1,8,81,5,5,63,13,1,2,1,2,1,12,1,71,5,0,9,0,1
45,12,0,576,12,4,75,4,2,0,1,3,1,1,1,18,0,0,2,0,1
24,1,0,132,4,3,37,3,0,1,1,3,3,1,1,51,1,0,8,0,1
385,1,0,3062,8,2,475,2,9,2,1,3,2,1,1,46,4,0,12,0,1
36,1,0,180,9,4,65,4,0,2,1,3,4,1,1,13,0,0,3,0,1
30,0,0,93,6,4,41,4,3,2,1,3,1,1,1,111,4,0,5,0,1
6,0,3,39,5,3,11,6,0,0,1,1,6,4,2,36,0,0,3,0,1
24,2,6,245,11,5,35,9,0,3,1,1,4,7,2,51,0,0,16,0,1
179,6,0,529,4,4,194,4,0,3,0,2,3,2,2,11,0,0,3,0,1
62,3,2,98,4,2,156,4,1,0,1,2,1,2,2,66,0,0,3,0,1
104,8,6,509,10,5,150,8,0,0,0,2,1,3,2,51,0,0,0,0,1
49,14,2,154,12,2,148,6,0,3,0,2,4,4,2,96,11,0,7,0,1
171,8,4,172,5,3,298,8,0,3,0,3,1,2,2,66,2,0,5,0,1
72,2,7,124,14,5,112,8,6,0,4,3,2,2,2,44,17,0,7,0,1
246,4,0,387,8,4,292,4,0,0,0,3,5,2,2,16,0,0,4,0,1
53,7,5,273,11,4,91,6,1,1,4,3,2,2,2,36,0,0,3,0,1
45,0,5,145,6,3,71,8,2,6,0,1,1,3,3,86,0,0,1,0,1
23,1,6,118,6,5,56,13,0,1,0,1,2,7,3,81,0,0,12,0,1
66,2,3,35,6,2,173,3,0,3,0,2,1,4,3,38,0,0,4,0,1
55,8,2,54,6,2,94,10,4,0,2,2,4,4,3,61,38,0,23,0,1
57,5,0,1529,5,4,64,4,0,0,3,2,1,4,3,11,0,0,9,0,1
144,1,3,297,3,3,173,7,4,0,0,2,1,5,3,66,0,0,2,0,1
8,0,9,175,8,4,14,18,0,1,3,2,3,6,3,136,0,0,8,0,1
43,3,3,115,8,3,94,9,2,3,1,2,4,10,3,91,2,0,9,0,1
70,31,3,310,10,1,103,10,1,1,0,1,4,5,4,116,0,0,6,0,1
